ship_name,class,uic,status,fleet,date_status_change,homeport,maintenance_category,berth,force,builder,award_date,commission_date,keel_date,inactivation_date,launch_date,decommission_date,age_since_launch,years_commission_decommission,delivery_date,in-service_date,age_since_delivery,out_of_service_date,stricken_date,overall_length,waterline_length,extreme_beam,waterline_beam,max_navigational_draft,draft_limit,light_displacement,full_displacement,dead_weight,hull material,num_propellers,num_waterjet,propulsion_type,officer_accom,enlisted_accom,custodian,planning_yard,nuclear_planning_yard,ship_program_mgr,comments,last_updated
1ST LT ALEX BONNYMAN (AK 3003),AK 3000,21585,Disposed of by return to owner,,07/15/2009,,,,,,,,,,,,,,,,,,,755 ft,,90 ft,,33 ft,,23365 tons,44088 tons,20723 tons,,1,,Diesel,,,,,,,,02/22/2011
A1C  WILLIAM H PITSENBARGER (AK 4638),AK 4638,23518,Disposed of by return to owner,,08/29/2008,,,,,,,,,,,,,,,,,,,620 ft,,106 ft,,37 ft,,,31986 tons,,,,,,,,,,,,,02/16/2011
ABATAN (AW 4),AW 3,04842,Disposed of in support of Fleet training exercise,,03/01/1980,,,,,,,,,,,,,,,,,,05/01/1970,,,,,,,,,,,,,,,,US NAVY,,,,,01/02/2002
ABBOT (DD 629),DD 448,04029,"Disposed of, by Navy Sale",,08/01/1975,,,,,,,,,,,,,,,,,,12/01/1974,,,,,,,,,,,,,,,,"SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES",,,,,12/17/2001
ABNAKI (ATF 96),ATF 96,07096,"Disposed of  through the Security Assistance Program (SAP), transferred, cash sale, ex-US fleet hull foreign military sale case number assigned",,09/01/1978,,,,,,,,,,,,,,,,,,09/30/1978,,,,,,,,,,,,,,,,MEXICO,,,,,12/28/2001
ABRAHAM LINCOLN (SSBN 602),SSBN 598,05110,Disposed of by submarine recycling,,05/10/1994,,,,,Naval Shipyard Portsmouth,07/30/1958,03/11/1961,11/01/1958,,05/14/1960,02/28/1981,34.0,20.0,03/08/1961,,33.2,,12/01/1982,,,,,,,,,,,,,Steam Turbine (Nuclear),,,"PUGET SOUND NAVAL SHIPYARD, BREMERTON, WA (NAVSHIPYD)",,,,,03/01/1999
ACADIA (AD 42),AD 41,21047,Disposed of in support of Fleet training exercise,,09/20/2010,,,,,National Steel & Shipbuilding Corp.,03/11/1976,06/06/1981,02/14/1978,,07/28/1979,12/16/1994,31.2,13.0,05/05/1981,,29.3,,12/13/2007,642 ft,620 ft,85 ft,67 ft,27 ft,25 ft,13526 tons,20473 tons,6947 tons,"Steel hull, steel superstructure.",1,,Steam Turbines,87,1508,,,,,,10/05/2010
ACCOKEEK (ATA 181),ATA 174,08108,"Disposed of by transfer to other Government Agencies, States. Schools, Sea Scouts, etc.",,02/20/1987,,,,,Levingston Shipbuilding Co.,08/16/1943,10/07/1944,06/15/1944,,07/27/1944,06/29/1972,42.6,28.0,10/06/1944,,42.3,,03/31/1986,143 ft,127 ft,34 ft,34 ft,15 ft,14 ft,610 tons,860 tons,250 tons,"Steel hull, steel superstructure.",1,,Diesel,5,44,US NAVY,,,,,04/28/2004
ACHELOUS (ARL 1),ARL 1,50010,"Disposed of, by Navy Sale",,01/01/1974,,,,,,,,,,,,,,,,,,06/01/1973,,,,,,,,,,,,,,,,"SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES",,,,,01/02/2002
ACHOMAWI (ATF 148),ATF 148,,"Disposed of, by Navy Sale",,04/22/1986,,,,,Charleston Shipbuilding and Dry Dock Co.,10/13/1943,12/30/1944,,,06/14/1944,06/10/1947,41.8,3.0,09/15/1944,,41.6,,09/01/1962,205 ft,195 ft,39 ft,39 ft,12 ft,,1280 tons,1640 tons,360 tons,"Steel hull, steel superstructure.",1,,Diesel Electric,6,71,TAIWAN,,,,,04/08/2003
ACME (MSO 508),MSO 508,08156,"Disposed of, by Navy Sale",,11/01/1976,,,,,,,,,,,,,,,,,,05/15/1976,,,,,,,,,,,,,,,,"SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES",,,,,12/28/2001
ACREE (DE 167),DE 99,02867,"Disposed of, by Navy Sale",,06/01/1973,,,,,,,,,,,,,,,,,,07/01/1972,,,,,,,,,,,,,,,,"SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES",,,,,01/02/2002
ADMIRAL W M CALLAGHAN (AKR 1001),AKR 1001,43365,"Special, MARAD titled ship, assigned to the Ready Reserve Force (RRF), listed here as part of the U.S. Navy Ship Forces.",U.S. PACIFIC FLEET,06/25/1987,,,"Alameda, CA",Strategic Sealift Force,Sun Shipbuilding & Dry Dock Co.,,,,,,,,,,,,,,694 ft,627 ft,92 ft,,29 ft,,13161 tons,26537 tons,13376 tons,"Steel hull, steel superstructure.",2,,Gas Turbines,,,MARITIME ADMINISTRATION (NATIONAL DEFENSE RESERVE FLEET),Maritime Administration (MARAD),,,,11/03/2011
ADRIA (AF 30),AF 30,08615,Disposed of by MARAD sale,,07/27/1977,,,,,,04/10/1945,,12/27/1943,,04/16/1944,,33.3,,11/30/1944,,32.7,,07/01/1974,,,,,,,,,,,,,,,,MARITIME ADMINISTRATION (NATIONAL DEFENSE RESERVE FLEET),,,,,12/17/2001
ADROIT (MSO 509),MSO 508,08157,"Disposed of, by Navy Sale",,04/15/1994,,,,,FRANK L SAMPLE JR INC,06/25/1954,03/04/1957,11/18/1954,,08/20/1955,05/08/1992,38.7,35.0,03/04/1957,,37.1,,05/08/1992,,,,,,,,,,,,,Diesel,,,"SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES",,,,,05/29/2007
ADVANCE (MSO 510),MSO 508,08158,"Disposed of, by Navy Sale",,11/01/1976,,,,,,,,,,,,,,,,,,05/15/1976,,,,,,,,,,,,,,,,"SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES",,,,,12/28/2001
ADVENTUROUS (AGOS 13),AGOS 1,21576,"Disposed of by transfer to other Government Agencies, States. Schools, Sea Scouts, etc.",,06/05/1992,,,"James River Reserve Fleet, Fort Eustis, VA",,Halter Marine Inc.,04/05/1985,,12/19/1985,,09/23/1987,,4.8,,08/19/1988,,3.8,,06/05/1992,,,,,,,,,,,2,,Diesel Electric,,,NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION (NOAA),,,,,02/18/1999
AEOLUS (ARC 3),ARC 3,01247,"Disposed of by transfer to other Government Agencies, States. Schools, Sea Scouts, etc.",,12/24/1987,,,,,WALSH-KAISER CO INC,,06/18/1945,,,05/20/1945,,42.6,,06/18/1945,,42.5,,03/28/1985,,,,,,,,,,,,,,,,"SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES",,,,,12/28/2001
AFFRAY (MSO 511),MSO 508,08159,Disposed of by Dismantling (Scrapping/Recycling),,05/17/2002,,,,,FRANK L SAMPLE JR INC,06/25/1954,12/08/1958,08/24/1955,,12/18/1956,12/20/1992,45.4,34.0,,,,,06/28/1993,173 ft,,,,,,738 tons,,,"Wood hull, (except engines and equipment).",2,,Diesel,,,,,,,,12/12/2017
AGERHOLM (DD 826),DD 710,52126,Disposed of in support of Fleet training exercise,,07/18/1982,,,,,Bath Iron Works Corp.,,06/20/1946,09/10/1945,,03/30/1946,,36.3,,06/20/1946,,36.1,,,,,,,,,,,,"Steel hull, steel superstructure.",,,,,,US NAVY,,,,,03/13/2001
AGGRESSIVE (MSO 422),MSO 422,07952,"Disposed of, by Navy Sale",,05/01/1980,,,,,,,,,,,,,,,,,,02/28/1975,,,,,,,,,,,,,,,,"SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES",,,,,12/28/2001
AGILE (MSO 421),MSO 421,07951,"Disposed of, by Navy Sale",,11/01/1979,,,,,,,,,,,,,,,,,,09/01/1977,,,,,,,,,,,,,,,,"SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES",,,,,12/10/2001
AINSWORTH (FFT 1090),FFT 1078,20068,"Disposed of  through the Security Assistance Program (SAP), transferred, cash sale, ex-US fleet hull foreign military sale case number assigned",,05/15/1999,,,,,"Avondale Marine Ways Inc., Westwego, LA",08/25/1966,03/31/1973,06/11/1971,,04/15/1972,05/27/1994,27.1,21.0,02/01/1973,,26.3,,01/11/1995,438 ft,415 ft,47 ft,47 ft,25 ft,17 ft,3200 tons,4180 tons,980 tons,"Steel hull, aluminum superstructure.",1,,Steam Turbines,22,276,TURKEY,,,,,02/28/2002
AJAX (AR 6),AR 5,08806,"Disposed of, by Navy Sale",,05/23/1997,,,,,LA SB & DD CORP/SAN PEDRO,,10/30/1943,,,08/22/1942,,54.8,,,,,,05/16/1989,,,,,,,,,,,,,Steam Turbine,,,,,,,"DISMANTLED AT INTERNATIONAL SHIPBREAKING LIMITED, BROWNSVILLE, TX. DATE UNKNOWN.",01/16/2007
ALABAMA (BB 60),BB 57,03060,Donated as a Museum and Memorial,,06/11/1964,,,,,Naval Shipyard Norfolk,04/01/1939,08/16/1942,02/01/1940,,02/16/1942,01/09/1947,22.3,5.0,11/10/1942,,21.6,,06/01/1962,680 ft,666 ft,108 ft,,36 ft,,35000 tons,44374 tons,9374 tons,"Steel hull, steel superstructure.",4,,Steam Turbines,127,2205,,,,,"ALABAMA IS LOCATED AT THE USS ALABAMA BATTLESHIP COMMISSION, BATTLESHIP MEMORIAL PARK, 2703 BATTLESHIP PARKWAY, MOBILE, AL. SHE IS LISTED ON THE NATIONAL REGISTER OF HISTORIC PLACES, REF. NO. 86000083 AND DESIGNATED A NATIONAL HISTORIC LANDMARK ON 1/14/1986.",07/19/2002
ALABAMA (BB 8),BB 7,,"Disposed of, sold for scrapping",,03/19/1924,,,,,"Cramp, Wm. & Sons Ship & Engine Co.",09/24/1896,10/16/1900,12/01/1896,,05/18/1898,05/07/1920,25.8,20.0,10/22/1900,,23.4,,09/15/1921,374 ft,368 ft,72 ft,,25 ft,,11552 tons,12150 tons,598 tons,"Steel hull, steel superstructure.",2,,Vertical Triple Expansion (VTE) Reciprocating Engines,52,765,,,,,"TRANSFERRED ON 9/15/1921 TO THE WAR DEPARTMENT FOR USE AS A TARGET. SHE SUNK ON 9/27/1921 BY THE ARMY AIR CORPS AREIAL BOMBING TESTS IN CHESAPEAKE BAY. SHE WAS RAISED AND THE HULK WAS SOLD FOR SCRAP ON 3/19/1924 TO UNION SHIPBUILDING CO., BALTIMORE, MD.",07/26/2002
ALACRITY (AG 520),AG 520,08161,"Disposed of, by Navy Sale",,07/01/1978,,,,,,,,,,,,,,,,,,09/30/1977,,,,,,,,,,,,,,,,"SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES",,,,,08/16/2016
ALAMO (LSD 33),LSD 28,03133,"Disposed of  through the Security Assistance Program (SAP), transferred, Foreign Assistance Act (FAA) Section 516, Southern Region Amendment",,01/24/2001,,,,,Ingalls Shipbuilding Corp.,03/18/1954,08/24/1956,10/11/1954,,01/20/1956,09/28/1990,45.0,34.0,08/24/1956,,44.4,,01/24/2001,510 ft,500 ft,84 ft,84 ft,19 ft,19 ft,7193 tons,11572 tons,4379 tons,"Steel hull, steel superstructure.",2,,Steam Turbines,63,686,BRAZIL,,,,,08/02/2001
